source,relation_type,target,source_name,target_name
689,paper_cite_paper,4634,Nonparametric Bayesian Learning of Switching Linear Dynamical Systems,An HDP-HMM for systems with state persistence
690,paper_cite_paper,699,Discovering Solutions with Low Kolmogorov Complexity and High Generalization Capability,Second Order Derivatives for Network Pruning: Optimal Brain Surgeon
691,paper_cite_paper,609,A Lighting Reproduction Approach to Live-Action Compositing,Light field rendering
695,paper_cite_paper,2217,The Multi-Relational Skyline Operator,An optimal and progressive algorithm for skyline queries
697,paper_cite_paper,5035,Hierarchical Clustering of a Mixture Model,Learning mixture hierarchies
697,paper_cite_paper,4719,Hierarchical Clustering of a Mixture Model,Applying the information bottleneck principle to unsupervised clustering of discrete and continuous image representations
697,paper_cite_paper,4627,Hierarchical Clustering of a Mixture Model,Computing Gaussian Mixture Models with EM Using Equivalence Constraints
697,paper_cite_paper,2206,Hierarchical Clustering of a Mixture Model,Bayesian Fault Detection and Diagnosis in Dynamic Systems
700,paper_cite_paper,1076,High dimensional similarity search with space filling curves,Nearest neighbor queries
701,paper_cite_paper,716,Principal manifolds and Bayesian subspaces for visual recognition,Probabilistic visual learning for object detection
701,paper_cite_paper,2133,Principal manifolds and Bayesian subspaces for visual recognition,Mapping a manifold of perceptual observations
701,paper_cite_paper,1744,Principal manifolds and Bayesian subspaces for visual recognition,Bayesian modeling of facial similarity
701,paper_cite_paper,2578,Principal manifolds and Bayesian subspaces for visual recognition,Independent component analysis of electroencephalographic data
702,paper_cite_paper,4851,Closest pair queries in spatial databases,Cost models for join queries in spatial databases
702,paper_cite_paper,4552,Closest pair queries in spatial databases,Integration of spatial join algorithms for processing multiple inputs
702,paper_cite_paper,1076,Closest pair queries in spatial databases,Nearest neighbor queries
702,paper_cite_paper,3420,Closest pair queries in spatial databases,External-memory computational geometry
703,paper_cite_paper,3890,Coordinate: probabilistic forecasting of presence and availability,Principles of mixed-initiative user interfaces
703,paper_cite_paper,418,Coordinate: probabilistic forecasting of presence and availability,A Bayesian approach to learning Bayesian networks with local structure
704,paper_cite_paper,2154,On Graph Kernels: Hardness Results and Efficient Alternatives,A training algorithm for optimal margin classifiers
704,paper_cite_paper,76,On Graph Kernels: Hardness Results and Efficient Alternatives,Convolution Kernels for Natural Language
704,paper_cite_paper,1438,On Graph Kernels: Hardness Results and Efficient Alternatives,Marginalized Kernels between Labeled Graphs
705,paper_cite_paper,841,Multiplicative Updates for Nonnegative Quadratic Programming in Support Vector Machines,Algorithms for Non-negative Matrix Factorization
705,paper_cite_paper,1052,Multiplicative Updates for Nonnegative Quadratic Programming in Support Vector Machines,Multiplicative Updates for Classification by Mixture Models
708,paper_cite_paper,2321,Reinforcement learning with limited reinforcement: using Bayes risk for active learning in POMDPs,Point-based value iteration: an anytime algorithm for POMDPs
708,paper_cite_paper,2210,Reinforcement learning with limited reinforcement: using Bayes risk for active learning in POMDPs,Model based Bayesian exploration
708,paper_cite_paper,3254,Reinforcement learning with limited reinforcement: using Bayes risk for active learning in POMDPs,Forward search value iteration for POMDPs
708,paper_cite_paper,4006,Reinforcement learning with limited reinforcement: using Bayes risk for active learning in POMDPs,Spoken dialogue management using probabilistic reasoning
708,paper_cite_paper,1293,Reinforcement learning with limited reinforcement: using Bayes risk for active learning in POMDPs,A Bayesian Framework for Reinforcement Learning
710,paper_cite_paper,1011,Complete and accurate clone detection in graph-based models,DECKARD: Scalable and Accurate Tree-Based Detection of Code Clones
710,paper_cite_paper,3604,Complete and accurate clone detection in graph-based models,Matching and Merging of Statecharts Specifications
711,paper_cite_paper,222,Text Classification using String Kernels.,Using the Nystroem Method to Speed Up Kernel Machines
711,paper_cite_paper,2154,Text Classification using String Kernels.,A training algorithm for optimal margin classifiers
711,paper_cite_paper,4547,Text Classification using String Kernels.,Sparse Greedy Matrix Approximation for Machine Learning
711,paper_cite_paper,1023,Text Classification using String Kernels.,On Kernel-Target Alignment
712,paper_cite_paper,4516,Learning Bounds for Domain Adaptation,Correcting sample selection bias by unlabeled data
712,paper_cite_paper,2875,Learning Bounds for Domain Adaptation,Boosting for transfer learning
712,paper_cite_paper,1892,Learning Bounds for Domain Adaptation,Improving SVM accuracy by training on auxiliary data sources
712,paper_cite_paper,150,Learning Bounds for Domain Adaptation,Simplified PAC-Bayesian Margin Bounds
717,paper_cite_paper,2863,Context-specific multiagent coordination and planning with factored MDPs,Computing factored value functions for policies in structured MDPs
717,paper_cite_paper,3918,Context-specific multiagent coordination and planning with factored MDPs,Approximating Value Trees in Structured Dynamic Programming
717,paper_cite_paper,1675,Context-specific multiagent coordination and planning with factored MDPs,Max-norm Projections for Factored MDPs
717,paper_cite_paper,2398,Context-specific multiagent coordination and planning with factored MDPs,Multiagent Planning with Factored MDPs
721,paper_cite_paper,156,Fast and approximate stream mining of quantiles and frequencies using graphics processors,Brook for GPUs: stream computing on graphics hardware
721,paper_cite_paper,929,Fast and approximate stream mining of quantiles and frequencies using graphics processors,What's hot and what's not: tracking most frequent items dynamically
721,paper_cite_paper,1888,Fast and approximate stream mining of quantiles and frequencies using graphics processors,Approximating a data stream for querying and estimation: algorithms and performance evaluation
721,paper_cite_paper,3679,Fast and approximate stream mining of quantiles and frequencies using graphics processors,Space-efficient online computation of quantile summaries
722,paper_cite_paper,2990,Hierarchical Gaussian process latent variable models,Beyond trees: common-factor models for 2D human pose recovery
722,paper_cite_paper,2168,Hierarchical Gaussian process latent variable models,WiFi-SLAM using Gaussian process latent variable models
722,paper_cite_paper,2654,Hierarchical Gaussian process latent variable models,Priors for people tracking from small training sets
722,paper_cite_paper,4240,Hierarchical Gaussian process latent variable models,Gaussian process models for visualisation of high dimensional data
722,paper_cite_paper,1852,Hierarchical Gaussian process latent variable models,Local distance preservation in the GP-LVM through back constraints
724,paper_cite_paper,2055,Best-First Model Merging for Dynamic Learning and Recognition,Bumptrees for efficient function constraint and classification learning
725,paper_cite_paper,3029,Clipping lists and change borders: improving multitasking efficiency with peripheral information design,AROMA: abstract representation of presence supporting mutual awareness
728,paper_cite_paper,3267,Recognizing textual entailment using sentence similarity based on dependency tree skeletons,Subsequence Kernels for Relation Extraction
729,paper_cite_paper,220,Exploiting Object Hierarchy: Combining Models from Different Category Levels,Building a classification cascade for visual identification from one example
729,paper_cite_paper,3069,Exploiting Object Hierarchy: Combining Models from Different Category Levels,Subordinate class recognition using relational object models
729,paper_cite_paper,3209,Exploiting Object Hierarchy: Combining Models from Different Category Levels,Learning hierarchical models of scenes objects and parts
735,paper_cite_paper,320,P3C: A Robust Projected Clustering Algorithm,Automatic subspace clustering of high dimensional data for data mining applications
735,paper_cite_paper,3343,P3C: A Robust Projected Clustering Algorithm,Finding generalized projected clusters in high dimensional spaces
735,paper_cite_paper,2695,P3C: A Robust Projected Clustering Algorithm,Fast algorithms for projected clustering
735,paper_cite_paper,3282,P3C: A Robust Projected Clustering Algorithm,On discovery of extremely low-dimensional clusters using semi-supervised projected clustering
736,paper_cite_paper,2861,Nonlinear causal discovery with additive noise models,Shrinking the tube: a new support vector regression algorithm
736,paper_cite_paper,1763,Nonlinear causal discovery with additive noise models,Gaussian process networks
736,paper_cite_paper,3916,Nonlinear causal discovery with additive noise models,Learning Gaussian networks
737,paper_cite_paper,5022,Constrained Independent Component Analysis,A New Learning Algorithm for Blind Signal Separation
740,paper_cite_paper,3660,Moving Object Extraction with a Hand-held Camera,Learning layered motion segmentations of video
740,paper_cite_paper,3879,Moving Object Extraction with a Hand-held Camera,Background modeling and subtraction of dynamic scenes
740,paper_cite_paper,5011,Moving Object Extraction with a Hand-held Camera,Layered representation of motion video using robust maximum-likelihood estimation of mixture models and MDL encoding
743,paper_cite_paper,3586,Region-based segmentation and object detection,Contextual models for object detection using boosted random fields
743,paper_cite_paper,4961,Region-based segmentation and object detection,Objects in Context
743,paper_cite_paper,3725,Region-based segmentation and object detection,Cascaded Classification Models: Combining Models for Holistic Scene Understanding
744,paper_cite_paper,977,A discriminative model approach for accurate duplicate bug report retrieval,Who should fix this bug?
744,paper_cite_paper,1348,A discriminative model approach for accurate duplicate bug report retrieval,Discriminative models for information retrieval
744,paper_cite_paper,3456,A discriminative model approach for accurate duplicate bug report retrieval,Discriminative Frequent Pattern Analysis for Effective Classification
746,paper_cite_paper,2154,Computationally efficient face detection,A training algorithm for optimal margin classifiers
746,paper_cite_paper,4325,Computationally efficient face detection,Simplified Support Vector Decision Rules
748,paper_cite_paper,3922,Jointly Identifying Temporal Relations with Markov Logic,Discriminative probabilistic models for relational data
748,paper_cite_paper,764,Jointly Identifying Temporal Relations with Markov Logic,Ultraconservative Online Algorithms for Multiclass Problems
749,paper_cite_paper,4067,Improving Text Classification by Using Encyclopedia Knowledge,Computing semantic relatedness using Wikipedia-based explicit semantic analysis
749,paper_cite_paper,4852,Improving Text Classification by Using Encyclopedia Knowledge,A re-examination of text categorization methods
749,paper_cite_paper,4993,Improving Text Classification by Using Encyclopedia Knowledge,Feature generation for text categorization using world knowledge
749,paper_cite_paper,2647,Improving Text Classification by Using Encyclopedia Knowledge,Overcoming the brittleness bottleneck using wikipedia: enhancing text categorization with encyclopedic knowledge
749,paper_cite_paper,4879,Improving Text Classification by Using Encyclopedia Knowledge,OHSUMED: an interactive retrieval evaluation and new large test collection for research
751,paper_cite_paper,3557,Model selection via the AUC,AUC Optimization vs. Error Rate Minimization
751,paper_cite_paper,871,Model selection via the AUC,AUC: a statistically consistent and more discriminating measure than accuracy
752,paper_cite_paper,1429,Statistical Analysis of Semi-Supervised Regression,Kernels and Regularization on Graphs
752,paper_cite_paper,1437,Statistical Analysis of Semi-Supervised Regression,Learning with Local and Global Consistency
752,paper_cite_paper,4722,Statistical Analysis of Semi-Supervised Regression,Maximum Likelihood Estimation of Intrinsic Dimension
754,paper_cite_paper,4226,Incremental and Decremental Support Vector Machine Learning,Sparse representation for Gaussian process models
755,paper_cite_paper,3724,Variable Resolution Discretization for High-Accuracy Solutions of Optimal Control Problems,Generalization in Reinforcement Learning: Successful Examples Using Sparse Coarse Coding
756,paper_cite_paper,4966,Clustering data streams,A sublinear time approximation scheme for clustering in metric spaces
756,paper_cite_paper,3432,Clustering data streams,OPTICS: ordering points to identify the clustering structure
756,paper_cite_paper,1146,Clustering data streams,BIRCH: an efficient data clustering method for very large databases
756,paper_cite_paper,476,Clustering data streams,Improved combinatorial algorithms for the facility location and k-median problems
756,paper_cite_paper,320,Clustering data streams,Automatic subspace clustering of high dimensional data for data mining applications
756,paper_cite_paper,3679,Clustering data streams,Space-efficient online computation of quantile summaries
757,paper_cite_paper,2903,Query Decomposition: A Multiple Neighborhood Approach to Relevance Feedback Processing in Content-based Image Retrieval,QCluster: relevance feedback using adaptive clustering for content-based image retrieval
758,paper_cite_paper,2154,Transferring naive bayes classifiers for text classification,A training algorithm for optimal margin classifiers
758,paper_cite_paper,2894,Transferring naive bayes classifiers for text classification,Transductive Inference for Text Classification using Support Vector Machines
758,paper_cite_paper,227,Transferring naive bayes classifiers for text classification,Learning one more thing
758,paper_cite_paper,1892,Transferring naive bayes classifiers for text classification,Improving SVM accuracy by training on auxiliary data sources
758,paper_cite_paper,519,Transferring naive bayes classifiers for text classification,Constructing informative priors using transfer learning
758,paper_cite_paper,5030,Transferring naive bayes classifiers for text classification,Partially Supervised Classification of Text Documents
758,paper_cite_paper,1618,Transferring naive bayes classifiers for text classification,Learning and evaluating classifiers under sample selection bias
759,paper_cite_paper,2522,Friends and foes: ideological social networking,Social information filtering: algorithms for automating “word of mouth”
760,paper_cite_paper,1339,Compressing historical information in sensor networks,Approximate computation of multidimensional aggregates of sparse data using wavelets
760,paper_cite_paper,1239,Compressing historical information in sensor networks,Adaptive filters for continuous queries over distributed data streams
760,paper_cite_paper,2124,Compressing historical information in sensor networks,Multi-dimensional selectivity estimation using compressed histogram information
764,paper_cite_paper,4209,Ultraconservative Online Algorithms for Multiclass Problems,The Kernel-Adatron: a Fast and Simple Learning Procedure for Support Vector Machines
764,paper_cite_paper,2236,Ultraconservative Online Algorithms for Multiclass Problems,The Kernel-Adatron Algorithm: A Fast and Simple Learning Procedure for Support Vector Machines
764,paper_cite_paper,173,Ultraconservative Online Algorithms for Multiclass Problems,Large margin classification using the perceptron algorithm
765,paper_cite_paper,277,Jester 2.0 (poster abstract): evaluation of an new linear time collaborative filtering algorithm,Empirical analysis of predictive algorithms for collaborative filtering
766,paper_cite_paper,2117,Search result diversification,Improving recommendation lists through topic diversification
766,paper_cite_paper,2373,Search result diversification,Novelty and redundancy detection in adaptive filtering
768,paper_cite_paper,962,Locating Complex Named Entities in Web Text,Maximum Entropy Markov Models for Information Extraction and Segmentation
769,paper_cite_paper,306,Reconstructing surfaces using anisotropic basis functions,A volumetric method for building complex models from range images
769,paper_cite_paper,3353,Reconstructing surfaces using anisotropic basis functions,An improved algorithm for algebraic curve and surface fitting
771,paper_cite_paper,3027,Efficient learning of sparse representations with an energy-based model,Autoencoders Minimum Description Length and Helmholtz Free Energy
774,paper_cite_paper,4526,Selective sampling for nearest neighbor classifiers,Neural Network Ensembles Cross Validation and Active Learning
774,paper_cite_paper,3077,Selective sampling for nearest neighbor classifiers,Heterogeneous Uncertainty Sampling for Supervised Learning
774,paper_cite_paper,3590,Selective sampling for nearest neighbor classifiers,Query by committee
775,paper_cite_paper,210,Weakly Supervised Learning for Hedge Classification in Scientific Literature,Unsupervised Models for Named Entity Classification
775,paper_cite_paper,127,Weakly Supervised Learning for Hedge Classification in Scientific Literature,Unsupervised word sense disambiguation rivaling supervised methods
777,paper_cite_paper,1429,Extensions of marginalized graph kernels,Kernels and Regularization on Graphs
777,paper_cite_paper,704,Extensions of marginalized graph kernels,On Graph Kernels: Hardness Results and Efficient Alternatives
777,paper_cite_paper,1438,Extensions of marginalized graph kernels,Marginalized Kernels between Labeled Graphs
778,paper_cite_paper,3590,Active learning of label ranking functions,Query by committee
778,paper_cite_paper,3607,Active learning of label ranking functions,A sequential algorithm for training text classifiers
778,paper_cite_paper,1345,Active learning of label ranking functions,Support Vector Machine Active Learning with Application sto Text Classification
778,paper_cite_paper,2554,Active learning of label ranking functions,Query Learning with Large Margin Classifiers
780,paper_cite_paper,2282,Using inaccurate models in reinforcement learning,Minimax Differential Dynamic Programming: An Application to Robust Biped Walking
780,paper_cite_paper,2235,Using inaccurate models in reinforcement learning,Machine learning for fast quadrupedal locomotion
780,paper_cite_paper,3606,Using inaccurate models in reinforcement learning,Robot Learning From Demonstration
781,paper_cite_paper,799,Orthogonal neighborhood preserving projections,Locality Preserving Projections
782,paper_cite_paper,3698,Fusion of multiview silhouette cues using a space occupancy grid,Stochastic refinement of the visual hull to satisfy photometric and silhouette consistency constraints
783,paper_cite_paper,3263,A cost model and index architecture for the similarity join,Independent quantization: an index compression technique for high-dimensional data spaces
783,paper_cite_paper,4987,A cost model and index architecture for the similarity join,Rules of thumb in data engineering
786,paper_cite_paper,1187,Using Homomorphisms to transfer options across continuous reinforcement learning domains,Behavior transfer for value-function-based reinforcement learning
786,paper_cite_paper,202,Using Homomorphisms to transfer options across continuous reinforcement learning domains,Model Minimization in Markov Decision Processes
786,paper_cite_paper,2100,Using Homomorphisms to transfer options across continuous reinforcement learning domains,Intra-Option Learning about Temporally Abstract Actions
787,paper_cite_paper,3863,Temporal Outlier Detection in Vehicle Traffic Data,LOCI: fast outlier detection using the local correlation integral
787,paper_cite_paper,1100,Temporal Outlier Detection in Vehicle Traffic Data,LOF: identifying density-based local outliers
787,paper_cite_paper,2272,Temporal Outlier Detection in Vehicle Traffic Data,HOT SAX: efficiently finding the most unusual time series subsequence
788,paper_cite_paper,2500,Learning predictive state representations in dynamical systems without reset,Predictive state representations: a new theory for modeling dynamical systems
788,paper_cite_paper,3730,Learning predictive state representations in dynamical systems without reset,Predictive Representations of State
788,paper_cite_paper,3829,Learning predictive state representations in dynamical systems without reset,Learning low dimensional predictive representations
789,paper_cite_paper,1286,Latent Friend Mining from Blog Data,A Comparative Study on Feature Selection in Text Categorization
789,paper_cite_paper,2618,Latent Friend Mining from Blog Data,Probabilistic latent semantic analysis
789,paper_cite_paper,4993,Latent Friend Mining from Blog Data,Feature generation for text categorization using world knowledge
789,paper_cite_paper,1250,Latent Friend Mining from Blog Data,The author-topic model for authors and documents
789,paper_cite_paper,491,Latent Friend Mining from Blog Data,A probabilistic approach to spatiotemporal theme pattern mining on weblogs
797,paper_cite_paper,2088,Adaptive dimension reduction using discriminant analysis and K -means clustering,Adaptive dimension reduction for clustering high dimensional data
797,paper_cite_paper,841,Adaptive dimension reduction using discriminant analysis and K -means clustering,Algorithms for Non-negative Matrix Factorization
797,paper_cite_paper,3358,Adaptive dimension reduction using discriminant analysis and K -means clustering,Discriminative cluster analysis
797,paper_cite_paper,1657,Adaptive dimension reduction using discriminant analysis and K -means clustering,Document clustering via adaptive subspace iteration
797,paper_cite_paper,945,Adaptive dimension reduction using discriminant analysis and K -means clustering,Spectral Relaxation for K-means Clustering
800,paper_cite_paper,1995,Learning Sparse SVM for Feature Selection on Very High Dimensional Datasets,Feature Selection via Concave Minimization and Support Vector Machines
800,paper_cite_paper,4643,Learning Sparse SVM for Feature Selection on Very High Dimensional Datasets,Identifying suspicious URLs: an application of large-scale online learning
800,paper_cite_paper,3584,Learning Sparse SVM for Feature Selection on Very High Dimensional Datasets,Direct convex relaxations of sparse SVM
800,paper_cite_paper,1838,Learning Sparse SVM for Feature Selection on Very High Dimensional Datasets,A dual coordinate descent method for large-scale linear SVM
800,paper_cite_paper,664,Learning Sparse SVM for Feature Selection on Very High Dimensional Datasets,1-norm Support Vector Machines
802,paper_cite_paper,822,Optimizing information exchange in cooperative multi-agent systems,Markov games as a framework for multi-agent reinforcement learning
802,paper_cite_paper,303,Optimizing information exchange in cooperative multi-agent systems,Sequential optimality and coordination in multiagent systems
802,paper_cite_paper,3499,Optimizing information exchange in cooperative multi-agent systems,Communication decisions in multi-agent cooperation: model and experiments
802,paper_cite_paper,4841,Optimizing information exchange in cooperative multi-agent systems,The dynamics of reinforcement learning in cooperative multiagent systems
802,paper_cite_paper,2464,Optimizing information exchange in cooperative multi-agent systems,Multiagent Reinforcement Learning: Theoretical Framework and an Algorithm
804,paper_cite_paper,872,Probabilistic boosting-tree: learning discriminative models for classification recognition and clustering,Boosting and Maximum Likelihood for Exponential Models
804,paper_cite_paper,1585,Probabilistic boosting-tree: learning discriminative models for classification recognition and clustering,Discriminative random fields: a discriminative framework for contextual interaction in classification
804,paper_cite_paper,4991,Probabilistic boosting-tree: learning discriminative models for classification recognition and clustering,Learning a Rare Event Detection Cascade by Direct Feature Selection
805,paper_cite_paper,2967,Structural join order selection for XML query optimization,On supporting containment queries in relational database management systems
808,paper_cite_paper,2314,How to Train Neural Networks,Optimal Asset Allocation using Adaptive Dynamic Programming
809,paper_cite_paper,3563,Test theory for assessing IR test collections,Evaluating evaluation measure stability
810,paper_cite_paper,2487,How good is a span of terms?: exploiting proximity to improve web retrieval,On the local optimality of LambdaRank
810,paper_cite_paper,3035,How good is a span of terms?: exploiting proximity to improve web retrieval,Some simple effective approximations to the 2-Poisson model for probabilistic weighted retrieval
810,paper_cite_paper,2357,How good is a span of terms?: exploiting proximity to improve web retrieval,Learning to Rank with Nonsmooth Cost Functions
810,paper_cite_paper,582,How good is a span of terms?: exploiting proximity to improve web retrieval,An exploration of proximity measures in information retrieval
811,paper_cite_paper,4239,Stable Function Approximation in Dynamic Programming,Generalization in Reinforcement Learning: Safely Approximating the Value Function
812,paper_cite_paper,3699,Learning 3-D Scene Structure from a Single Still Image,Multi-conditional learning: generative/discriminative training for clustering and classification
812,paper_cite_paper,4220,Learning 3-D Scene Structure from a Single Still Image,Learning Depth from Single Monocular Images
815,paper_cite_paper,4595,Adaptive ordering of pipelined stream filters,Filtering algorithms and implementation for very fast publish/subscribe systems
815,paper_cite_paper,5001,Adaptive ordering of pipelined stream filters,Adaptive caching for continuous queries
816,paper_cite_paper,1968,Power watersheds: A new image segmentation framework extending graph cuts random walker and optimal spanning forest,A Seeded Image Segmentation Framework Unifying Graph Cuts And Random Walker Which Yields A New Algorithm
816,paper_cite_paper,4911,Power watersheds: A new image segmentation framework extending graph cuts random walker and optimal spanning forest,Computing geodesics and minimal surfaces via graph cuts
816,paper_cite_paper,4832,Power watersheds: A new image segmentation framework extending graph cuts random walker and optimal spanning forest,A Geodesic Framework for Fast Interactive Image and Video Segmentation and Matting
816,paper_cite_paper,2335,Power watersheds: A new image segmentation framework extending graph cuts random walker and optimal spanning forest,Interactive graph cuts for optimal boundary & region segmentation of objects in N-D images
817,paper_cite_paper,3270,A new rank correlation coefficient for information retrieval,On rank correlation in information retrieval evaluation
818,paper_cite_paper,1142,Unsupervised document classification using sequential information maximization,Agglomerative Information Bottleneck
818,paper_cite_paper,1931,Unsupervised document classification using sequential information maximization,Distributional clustering of English words
818,paper_cite_paper,88,Unsupervised document classification using sequential information maximization,On feature distributional clustering for text categorization
818,paper_cite_paper,650,Unsupervised document classification using sequential information maximization,Reexamining the cluster hypothesis: scatter/gather on retrieval results
819,paper_cite_paper,3189,A two-ball mouse affords three degrees of freedom,Facile 3D direct manipulation
819,paper_cite_paper,1937,A two-ball mouse affords three degrees of freedom,The Rockin'Mouse: integral 3D manipulation on a plane
820,paper_cite_paper,1128,On Appropriate Assumptions to Mine Data Streams: Analysis and Practice,Using additive expert ensembles to cope with concept drift
820,paper_cite_paper,1618,On Appropriate Assumptions to Mine Data Streams: Analysis and Practice,Learning and evaluating classifiers under sample selection bias
820,paper_cite_paper,3349,On Appropriate Assumptions to Mine Data Streams: Analysis and Practice,Detecting Concept Drift with Support Vector Machines
822,paper_cite_paper,3659,Markov games as a framework for multi-agent reinforcement learning,A Reinforcement Learning Method for Maximizing Undiscounted Rewards
824,paper_cite_paper,3090,A probabilistic model for trust and reputation,Detecting deception in reputation management
824,paper_cite_paper,4946,A probabilistic model for trust and reputation,Sequential decision making with untrustworthy service providers
824,paper_cite_paper,602,A probabilistic model for trust and reputation,Rumours and reputation: evaluating multi-dimensional trust within a decentralised reputation system
825,paper_cite_paper,2248,Simple robust scalable semi-supervised learning via expectation regularization,Semi-supervised Learning by Entropy Minimization
825,paper_cite_paper,436,Simple robust scalable semi-supervised learning via expectation regularization,Large scale semi-supervised linear SVMs
825,paper_cite_paper,4152,Simple robust scalable semi-supervised learning via expectation regularization,Contrastive estimation: training log-linear models on unlabeled data
825,paper_cite_paper,1623,Simple robust scalable semi-supervised learning via expectation regularization,Corpus-based induction of syntactic structure: models of dependency and constituency
825,paper_cite_paper,4522,Simple robust scalable semi-supervised learning via expectation regularization,Word sense disambiguation using label propagation based semi-supervised learning
825,paper_cite_paper,2287,Simple robust scalable semi-supervised learning via expectation regularization,A New Metric-Based Approach to Model Selection
825,paper_cite_paper,1947,Simple robust scalable semi-supervised learning via expectation regularization,Semi-supervised sequence modeling with syntactic topic models
825,paper_cite_paper,1226,Simple robust scalable semi-supervised learning via expectation regularization,Harmonic mixtures: combining mixture models and graph-based methods for inductive and scalable semi-supervised learning
825,paper_cite_paper,3036,Simple robust scalable semi-supervised learning via expectation regularization,Learning to classify text from labeled and unlabeled documents
825,paper_cite_paper,1985,Simple robust scalable semi-supervised learning via expectation regularization,Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data
825,paper_cite_paper,2894,Simple robust scalable semi-supervised learning via expectation regularization,Transductive Inference for Text Classification using Support Vector Machines
827,paper_cite_paper,173,Supervised noun phrase coreference research: the first fifteen years,Large margin classification using the perceptron algorithm
827,paper_cite_paper,4329,Supervised noun phrase coreference research: the first fifteen years,Conditional Models of Identity Uncertainty with Application to Noun Coreference
827,paper_cite_paper,4130,Supervised noun phrase coreference research: the first fifteen years,Using decision trees for conference resolution
827,paper_cite_paper,2796,Supervised noun phrase coreference research: the first fifteen years,Learning to resolve bridging references
827,paper_cite_paper,3023,Supervised noun phrase coreference research: the first fifteen years,Improving machine learning approaches to coreference resolution
827,paper_cite_paper,4098,Supervised noun phrase coreference research: the first fifteen years,Toward Conditional Models of Identity Uncertainty with Application to Proper Noun Coreference
827,paper_cite_paper,1615,Supervised noun phrase coreference research: the first fifteen years,Supervised clustering with support vector machines
828,paper_cite_paper,1665,Online Filtering Smoothing and Probabilistic Modeling of Streaming data,Representing and Querying Correlated Tuples in Probabilistic Databases
828,paper_cite_paper,848,Online Filtering Smoothing and Probabilistic Modeling of Streaming data,Dynamic Probabilistic Relational Models
828,paper_cite_paper,2423,Online Filtering Smoothing and Probabilistic Modeling of Streaming data,Adaptive stream resource management using Kalman Filters
829,paper_cite_paper,4745,On-line LDA: Adaptive Topic Models for Mining Text Streams with Applications to Topic Detection and Tracking,Detect and track latent factors with online nonnegative matrix factorization
829,paper_cite_paper,3450,On-line LDA: Adaptive Topic Models for Mining Text Streams with Applications to Topic Detection and Tracking,Dynamic topic models
830,paper_cite_paper,760,Optimal multi-scale patterns in time series streams,Compressing historical information in sensor networks
830,paper_cite_paper,371,Optimal multi-scale patterns in time series streams,Mining motifs in massive time series databases
830,paper_cite_paper,1192,Optimal multi-scale patterns in time series streams,Online amnesic approximation of streaming time series
830,paper_cite_paper,3120,Optimal multi-scale patterns in time series streams,A multiresolution symbolic representation of time series
831,paper_cite_paper,1789,Accounting for taste: using profile similarity to improve recommender systems,Collaborative filtering with privacy via factor analysis
831,paper_cite_paper,251,Accounting for taste: using profile similarity to improve recommender systems,A collaborative filtering algorithm and evaluation metric that accurately model the user experience
831,paper_cite_paper,277,Accounting for taste: using profile similarity to improve recommender systems,Empirical analysis of predictive algorithms for collaborative filtering
831,paper_cite_paper,2717,Accounting for taste: using profile similarity to improve recommender systems,Item-based collaborative filtering recommendation algorithms
831,paper_cite_paper,2870,Accounting for taste: using profile similarity to improve recommender systems,An algorithmic framework for performing collaborative filtering
833,paper_cite_paper,3881,Top-k Spatial Joins of Probabilistic Objects,Using sets of feature vectors for similarity search on voxelized CAD objects
833,paper_cite_paper,592,Top-k Spatial Joins of Probabilistic Objects,Spatial join selectivity using power laws
833,paper_cite_paper,198,Top-k Spatial Joins of Probabilistic Objects,Indexing Uncertain Categorical Data
833,paper_cite_paper,193,Top-k Spatial Joins of Probabilistic Objects,Efficient Clustering of Uncertain Data
834,paper_cite_paper,2531,On Density Based Transforms for Uncertain Data Mining,Privacy-preserving data mining
834,paper_cite_paper,1146,On Density Based Transforms for Uncertain Data Mining,BIRCH: an efficient data clustering method for very large databases
838,paper_cite_paper,1878,Evolutionary Program Induction Directed by Logic Grammars,Strongly typed genetic programming
839,paper_cite_paper,3018,Improving User Satisfaction in Agent-Based Electronic Marketplaces by Reputation Modelling and Adjustable Product Quality,Learning to coordinate without sharing information
840,paper_cite_paper,1796,Bayesian Network Anomaly Pattern Detection for Disease Outbreaks,Optimal Reinsertion: A New Search Operator for Accelerated and More Accurate Bayesian Network Structure Learning
840,paper_cite_paper,147,Bayesian Network Anomaly Pattern Detection for Disease Outbreaks,Rule-based anomaly pattern detection for detecting disease outbreaks
841,paper_cite_paper,2164,Algorithms for Non-negative Matrix Factorization,Unsupervised Learning by Convex and Conic Coding
842,paper_cite_paper,2765,An Evaluation on Feature Selection for Text Clustering,Document clustering using word clusters via the information bottleneck method
842,paper_cite_paper,88,An Evaluation on Feature Selection for Text Clustering,On feature distributional clustering for text categorization
842,paper_cite_paper,1689,An Evaluation on Feature Selection for Text Clustering,Hierarchically Classifying Documents Using Very Few Words
842,paper_cite_paper,3194,An Evaluation on Feature Selection for Text Clustering,Convergence Properties of the K-Means Algorithms
842,paper_cite_paper,1286,An Evaluation on Feature Selection for Text Clustering,A Comparative Study on Feature Selection in Text Categorization
842,paper_cite_paper,3967,An Evaluation on Feature Selection for Text Clustering,Toward Optimal Feature Selection
